mb_code16,warming_level,days_label,days_lower,days_upper
20023610000,1.2,5-10,5,10
20023620000,1.2,5-10,5,10
20023630000,1.2,5-10,5,10
20023640000,1.2,5-10,5,10
20023650000,1.2,5-10,5,10
20023660000,1.2,5-10,5,10
20023670000,1.2,5-10,5,10
20023680000,1.2,5-10,5,10
20023700000,1.2,5-10,5,10
20023710000,1.2,5-10,5,10
20023720000,1.2,5-10,5,10
20023730000,1.2,5-10,5,10
20023741000,1.2,5-10,5,10
20023742000,1.2,5-10,5,10
20023750000,1.2,5-10,5,10
20023760000,1.2,5-10,5,10
20023410000,1.2,5-10,5,10
20023440000,1.2,5-10,5,10
20023450000,1.2,5-10,5,10
20023460000,1.2,5-10,5,10
20023470000,1.2,5-10,5,10
20023480000,1.2,5-10,5,10
20023490000,1.2,5-10,5,10
20023500000,1.2,5-10,5,10
20023520000,1.2,5-10,5,10
20022910000,1.2,5-10,5,10
20022930000,1.2,5-10,5,10
20022950000,1.2,5-10,5,10
20022960000,1.2,5-10,5,10
20022970000,1.2,5-10,5,10
20022980000,1.2,5-10,5,10
20022990000,1.2,5-10,5,10
20023000000,1.2,5-10,5,10
20023010000,1.2,5-10,5,10
20023030000,1.2,5-10,5,10
20023040000,1.2,5-10,5,10
20023052000,1.2,5-10,5,10
20023060000,1.2,5-10,5,10
20023070000,1.2,5-10,5,10
20023080000,1.2,5-10,5,10
